feed,title,long_url,short_url
ArXiv:cs.CR,Detecting Anomalies using Overlapping Electrical Measurements in Smart Power Grids,https://arxiv.org/abs/2201.02236v1,
ArXiv:cs.CR,Asymptotic Security using Bayesian Defense Mechanisms with Application to Cyber Deception,https://arxiv.org/abs/2201.02351v1,
ArXiv:cs.CR,"Towards Trustworthy DeFi Oracles: Past,Present and Future",https://arxiv.org/abs/2201.02358v1,
ArXiv:cs.CR,Methods for Increasing the Resistance of Cryptographic Designs against Horizontal DPA Attacks,https://arxiv.org/abs/2201.02391v1,
ArXiv:cs.CR,Repairing Adversarial Texts through Perturbation,https://arxiv.org/abs/2201.02504v1,
ArXiv:cs.CR,Evaluation of Cyber Attacks Targeting Internet Facing IoT : An Experimental Evaluation,https://arxiv.org/abs/2201.02506v1,
ArXiv:cs.CR,Security Considerations for Virtual Reality Systems,https://arxiv.org/abs/2201.02563v1,
ArXiv:cs.CR,Apples and Cars: a Comparison of Security,https://arxiv.org/abs/2201.02601v1,
ArXiv:cs.CR,Game-Theoretic Malware Detection,https://arxiv.org/abs/2012.00817v2,
ArXiv:cs.CR,E-GraphSAGE: A Graph Neural Network based Intrusion Detection System for IoT,https://arxiv.org/abs/2103.16329v7,
ArXiv:cs.CR,Adversarial Example Detection for DNN Models: A Review and Experimental Comparison,https://arxiv.org/abs/2105.00203v4,
ArXiv:cs.CR,Coherence Attacks and Countermeasures in Interposer-Based Systems,https://arxiv.org/abs/2105.02917v2,
ArXiv:cs.CR,Time Series Anomaly Detection for Cyber-Physical Systems via Neural System Identification and Bayesian Filtering,https://arxiv.org/abs/2106.07992v2,
ArXiv:cs.CR,SCADS: A Scalable Approach Using Spark in Cloud for Host-based Intrusion Detection System with System Calls,https://arxiv.org/abs/2109.11821v2,
ArXiv:cs.CR,BDFA: A Blind Data Adversarial Bit-flip Attack on Deep Neural Networks,https://arxiv.org/abs/2112.03477v2,
ArXiv:cs.CR,Deniable Encryption in a Quantum World,https://arxiv.org/abs/2112.14988v2,
ArXiv:cs.CR,State Selection Algorithms and Their Impact on The Performance of Stateful Network Protocol Fuzzing,https://arxiv.org/abs/2112.15498v2,
