feed,title,long_url,short_url
TheHackerNews,RedCurl Corporate Espionage Hackers Return With Updated Hacking Tools,https://thehackernews.com/2021/11/redcurl-corporate-espionage-hackers.html,https://j.mp/3qSxTqv
TheHackerNews,North Korean Hackers Found Behind a Range of Credential Theft Campaigns,https://thehackernews.com/2021/11/north-korean-hackers-found-behind-range.html,https://j.mp/3oO0DOt
TheHackerNews,11 Malicious PyPI Python Libraries Caught Stealing Discord Tokens and Installing Shells,https://thehackernews.com/2021/11/11-malicious-pypi-python-libraries.html,https://j.mp/30LU4Ej
TheHackerNews,U.S. Charged 2 Iranian Hackers for Threatening Voters During 2020 Presidential Election,https://thehackernews.com/2021/11/us-charged-2-iranians-hackers-for.html,https://j.mp/3kR2cu7
TheHackerNews,FBI Issues Flash Alert on Actively Exploited FatPipe VPN Zero-Day Bug,https://thehackernews.com/2021/11/fbi-issues-flash-alert-on-actively.html,https://j.mp/3CBOvVD
TheHackerNews,A Simple 5-Step Framework to Minimize the Risk of a Data Breach,https://thehackernews.com/2021/11/a-simple-5-step-framework-to-minimize.html,https://j.mp/3DAlLhk
TheHackerNews,Experts Expose Secrets of Conti Ransomware Group That Made 25 Million from Victims,https://thehackernews.com/2021/11/experts-expose-secrets-of-conti.html,https://j.mp/3kSCfdr
TheHackerNews,New Side Channel Attacks Re-Enable Serious DNS Cache Poisoning Attacks,https://thehackernews.com/2021/11/new-side-channel-attacks-re-enable.html,https://j.mp/3cqyh7h
TheHackerNews,Critical Root RCE Bug Affects Multiple Netgear SOHO Router Models,https://thehackernews.com/2021/11/critical-root-rce-bug-affects-multiple.html,https://j.mp/3x05yzD
TheHackerNews,How to Build a Security Awareness Training Program that Yields Measurable Results,https://thehackernews.com/2021/11/how-to-build-security-awareness.html,https://j.mp/3HK6MEn
TheHackerNews,Microsoft Warns about 6 Iranian Hacking Groups Turning to Ransomware,https://thehackernews.com/2021/11/microsoft-warns-about-6-iranian-hacking.html,https://j.mp/3Hxgn1a
TheHackerNews,"U.S., U.K. and Australia Warn of Iranian Hackers Exploiting Microsoft, Fortinet Flaws",https://thehackernews.com/2021/11/us-uk-and-australia-warn-of-iranian.html,https://j.mp/3HtcQkd
TheHackerNews,Hackers Targeting Myanmar Use Domain Fronting to Hide Malicious Activities,https://thehackernews.com/2021/11/hackers-targeting-myanmar-use-domain.html,https://j.mp/3203dJw
TheHackerNews,Israel's Candiru Spyware Found Linked to Watering Hole Attacks in U.K and Middle East,https://thehackernews.com/2021/11/israels-candiru-spyware-found-linked-to.html,https://j.mp/3CtBfm2
TheHackerNews,On-Demand Webinar: Into the Cryptoverse,https://thehackernews.com/2021/11/on-demand-webinar-into-cryptoverse.html,https://j.mp/30z8yqJ
TheHackerNews,Facebook Bans Pakistani and Syrian Hacker Groups for Abusing its Platform,https://thehackernews.com/2021/11/facebook-bans-pakistani-and-syrian.html,https://j.mp/3clz75a
